ID,,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice
000801-00-0114, C05,C08,,,,,,,
000801-00-0124, C05,,,,,,,,
000801-00-0140, C05,,,,,,,,
000801-00-0153, C05,,,,,,,,
000801-00-0168, C05,C08,C09,C07,,,,,
000801-00-0181, C05,C04,C08,C02,,,,,
000801-00-0183, C05,C03,,,,,,,
000801-00-0186, C05,C08,C07,,,,,,
000801-00-0212, C05,C08,C01,C02,C04,,,,
000801-00-0215, C05,C04,C02,C01,C08,,,,
000801-00-0239, C05,C04,,,,,,,
000801-00-0255, C05,C08,C01,C02,C03,C04,,,
000801-00-0259, C05,C08,C03,C09,C04,,,,
000801-00-0296, C05,C09,C08,C07,C06,,,,
000801-00-0298, C05,C04,C08,C01,,,,,
000801-00-0306, C05,C09,C02,C01,C08,C04,C03,C07,C06
000801-00-0348, C05,C03,C07,,,,,,
000801-00-0351, C05,C08,C04,C07,C06,,,,
000801-00-0382, C05,C08,C04,C09,C07,C03,C01,C02,C06
000801-00-0386, C05,C06,C08,,,,,,
000801-00-0388, C05,C06,C07,,,,,,
000801-00-0390, C05,C04,C09,C08,C07,,,,
000801-00-0401, C05,C08,C06,C01,C03,C07,C04,C02,
000801-00-0417, C05,C02,C01,C08,,,,,
000801-00-0420, C05,C03,C04,C08,C07,,,,
000801-00-0422, C05,C03,C09,C04,,,,,
000801-00-0426, C05,C04,C08,C03,,,,,
000801-00-0442, C05,C01,C04,C08,C03,C09,C07,C02,C06
000801-00-0459, C05,C07,C08,C09,C04,,,,
000801-00-0466, C05,C08,C02,C09,C07,C03,,,
000801-00-0474, C05,C07,C04,C09,,,,,
000201-00-0002, C05,,,,,,,,
000201-00-0021, C05,C02,,,,,,,
000201-00-0062, C05,C08,,,,,,,
000201-00-0076, C05,C04,C03,C01,C08,C09,,,
000201-00-0094, C05,C09,C08,C03,,,,,
000201-00-0110, C05,,,,,,,,
000201-00-0129, C05,C04,,,,,,,
000201-00-0145, C05,C06,C02,,,,,,
000201-00-0264, C05,C02,C08,,,,,,
000201-00-0266, C05,C09,C04,C08,C07,C02,,,
000201-00-0325, C05,C03,C01,C04,C09,C08,C07,C06,
000201-00-0367, C05,,,,,,,,
000201-00-0382, C05,C04,C08,C01,,,,,
000201-00-0405, C05,C07,C08,C03,C04,C01,C02,C06,
000201-00-0453, C05,,,,,,,,
000201-00-0503, C05,C08,C01,C02,,,,,
000201-00-0564, C05,C09,C07,,,,,,
000201-00-0628, C05,C04,C09,,,,,,
000201-00-0717, C05,C09,,,,,,,
000201-00-0769, C05,C04,C01,C08,C09,,,,
000201-00-0787, C05,,,,,,,,
001103-00-0013, C05,C04,C08,C07,,,,,
001103-00-0054, C05,,,,,,,,
001103-00-0068, C05,C08,C09,C02,C01,,,,
001103-00-0079, C05,C08,C03,C09,C04,C01,,,
001103-00-0096, C05,C09,C04,C08,,,,,
001103-00-0102, C05,C04,C09,C08,C07,,,,
001103-00-0114, C05,C09,C08,C03,C04,,,,
001103-00-0140, C05,C09,C04,C03,,,,,
001103-00-0143, C05,,,,,,,,
001103-00-0165, C05,C09,C04,C03,C01,,,,
001103-00-0180, C05,C04,C08,C09,C03,,,,
001103-00-0194, C05,C02,C09,C07,C04,C01,C03,C06,C08
001103-00-0197, C05,C02,C01,C08,C03,C04,C09,C07,C06
001103-00-0200, C05,C03,C09,C08,,,,,
001103-00-0208, C05,C02,C01,C08,C03,C04,,,
001103-00-0275, C05,C09,C08,C03,C07,,,,
001103-00-0292, C05,,,,,,,,
001103-00-0296, C05,C08,C03,,,,,,
001103-00-0309, C05,C07,C08,C04,C09,,,,
001103-00-0312, C05,C04,C09,C01,,,,,
001103-00-0330, C05,C09,C02,C03,,,,,
001103-00-0348, C05,,,,,,,,
001103-00-0366, C05,C01,,,,,,,
001103-00-0424, C05,,,,,,,,
001103-00-0448, C05,C09,C08,C04,C07,,,,
001103-00-0479, C05,C09,C04,,,,,,
001103-00-0509, C05,C01,C02,C08,C07,C03,C04,C06,
001103-00-0514, C05,,,,,,,,
001103-00-0519, C05,,,,,,,,
001103-00-0521, C05,,,,,,,,
001103-00-0523, C05,C08,C03,C09,,,,,
001103-00-0553, C05,C08,C09,C01,,,,,
001103-00-0557, C05,C08,C04,C01,C02,C09,,,
001103-00-0558, C05,C09,C04,C01,C08,,,,
001103-00-0565, C05,C03,C04,C07,,,,,
001103-00-0578, C05,C08,C04,,,,,,
001103-00-0594, C05,,,,,,,,
001103-00-0601, C05,C08,C02,C07,C09,,,,
001103-00-0615, C05,C04,C01,C02,C06,C03,C08,C09,C07
001103-00-0645, C05,,,,,,,,
001103-00-0647, C05,,,,,,,,
001103-00-0673, C05,C04,C08,C01,C02,,,,
001103-00-0674, C05,C08,C09,C01,C02,C03,C04,,
001103-00-0710, C05,C04,C07,,,,,,
001103-00-0721, C05,C04,C01,,,,,,
001103-00-0725, C05,C09,C08,,,,,,
001103-00-0728, C05,C09,C08,,,,,,
001103-00-0744, C05,C07,C08,C04,C09,,,,
001103-00-0756, C05,C08,C09,C04,C01,C02,C07,C06,C03
001103-00-0787, C05,C09,C03,C08,,,,,
001103-00-0827, C05,C04,C03,C09,C01,,,,
001103-00-0841, C05,C08,,,,,,,
001103-00-0843, C05,C04,,,,,,,
001103-00-0909, C05,C08,C07,C04,C09,,,,
001103-00-0918, C05,C04,C03,C08,C09,C06,,,
001103-00-0923, C05,C07,C08,C04,C09,C01,,,
001103-00-0933, C05,C01,,,,,,,
001103-00-0975, C05,C04,,,,,,,
001103-00-0978, C05,C09,C02,C04,C07,C08,,,
001103-00-1009, C05,C01,C03,C04,C07,C08,C09,C02,C06
001103-00-1044, C05,C04,C09,C08,C03,,,,
001103-00-1053, C05,C04,,,,,,,
001103-00-1077, C05,C02,C03,,,,,,
001103-00-1096, C05,C04,C09,,,,,,
001103-00-1100, C05,C04,C09,,,,,,
001103-00-1121, C05,C09,C03,C01,,,,,
001103-00-1125, C05,C01,C04,C02,C08,,,,
001103-00-1131, C05,C08,C09,C03,C04,,,,
001103-00-1133, C05,,,,,,,,
001103-00-1136, C05,C04,C02,C08,C01,C09,,,
001103-00-1146, C05,C07,C01,C02,C03,C04,,,
001103-00-1151, C05,C09,C08,C02,C04,,,,
001103-00-1166, C05,C04,C01,,,,,,
001103-00-1170, C05,C01,C08,C04,C09,C02,C07,C06,
001103-00-1202, C05,C04,C01,,,,,,
001103-00-1217, C05,C01,C07,C06,C03,C02,C09,C04,C08
001103-00-1225, C05,C08,C09,C04,,,,,
001103-00-1309, C05,C08,C09,C03,,,,,
001103-00-1310, C05,C08,C09,C01,C02,C04,C03,C06,C07
001103-00-1315, C05,C08,,,,,,,
001103-00-1316, C05,C09,,,,,,,
001103-00-1320, C05,C09,C04,C08,C01,,,,
001103-00-1324, C05,C08,,,,,,,
001103-00-1343, C05,C03,C08,,,,,,
001103-00-1346, C05,C04,C01,C03,,,,,
001103-00-1352, C05,C03,C04,C09,C01,,,,
001103-00-1353, C05,C03,C01,C04,C09,,,,
001103-00-1355, C05,C03,C04,C09,C01,C08,C02,,
001103-00-1380, C05,C02,C09,,,,,,
001103-00-1393, C05,C08,C01,C02,C04,C07,C06,C09,
001103-00-1394, C05,,,,,,,,
001103-00-1397, C05,C03,C04,C09,C08,C02,,,
001103-00-1404, C05,C04,C01,C08,,,,,
001103-00-0275, C05,C08,C02,C04,,,,,
001103-00-0279, C05,C04,C09,WI01,C01,C08,,,
001103-00-0290, C02=WI01,C05,C01,,,,,,
001103-00-0297, C05,C08,C09,C04,C03,C01,C02,,
001103-00-0302, C05,C04,C02,C09,C01,C07,C03,C08,
001103-00-0304, C05,C01,C09,C08,,,,,
000603-00-0002, C05,C03,C04,,,,,,
000603-00-0020, C05,C04,C01,C09,,,,,
000603-00-0083, C05,C04,C08,C09,C02,C06,C01,C03,C07
000603-00-0098, C05,C08,C01,,,,,,
000603-00-0102, C05,,,,,,,,
000603-00-0138, C05,C08,C03,,,,,,
000603-00-0140, C05,C03,C04,,,,,,
000603-00-0212, C05,C08,C01,C03,,,,,
000603-00-0217, C05,C09,C04,,,,,,
000603-00-0222, C05,C08,C03,,,,,,
000603-00-0237, C05,C07,,,,,,,
000603-00-0247, C05,C09,C07,C01,C08,C03,C04,,
000603-00-0249, C05,C09,C01,C04,C08,,,,
000603-00-0254, C05,C04,,,,,,,
000603-00-0263, C05,C04,C08,,,,,,
000603-00-0267, C05,C04,C08,,,,,,
000603-00-0269, C05,C09,C07,C03,C06,,,,
000603-00-0276, C05,C04,C07,,,,,,
000603-00-0290, C05,C08,C09,C03,C04,,,,
000603-00-0317, C05,C01,C04,C09,,,,,
000603-00-0320, C05,C04,C09,C07,C06,,,,
000603-00-0336, C05,C08,C02,C09,C01,,,,
000603-00-0342, C05,C08,C01,C03,C04,C02,,,
000603-00-0347, C05,,,,,,,,
000603-00-0359, C05,C08,C09,,,,,,
000603-00-0362, C05,,,,,,,,
000603-00-0365, C05,C04,C02,C01,C07,C08,,,
000603-00-0381, C05,C08,,,,,,,
000603-00-0388, C05,C04,C09,C01,,,,,
000603-00-0392, C05,,,,,,,,
000603-00-0412, C05,C08,C04,C02,C01,C03,C09,,
000603-00-0415, C05,,,,,,,,
000603-00-0447, C05,C04,C08,,,,,,
000603-00-0465, C05,C03,C04,C08,C02,C01,C09,,
000603-00-0466, C05,C03,C04,,,,,,
000603-00-0480, C05,,,,,,,,
000603-00-0486, C05,C08,C01,C02,C04,,,,
000603-00-0513, C05,C09,C08,,,,,,
000603-00-0557, C05,C01,,,,,,,
000603-00-0560, C05,C04,C03,C08,C09,,,,
000603-00-0562, C05,C08,,,,,,,
000603-00-0567, C05,,,,,,,,
000603-00-0597, C05,C09,C08,C04,,,,,
000603-00-0618, C05,C04,,,,,,,
000603-00-0635, C05,C02,C03,C04,C08,C01,,,
000603-00-0652, C05,C04,C08,,,,,,
000603-00-0662, C05,C08,C04,C01,C02,C03,,,
000603-00-0667, C05,C04,C08,,,,,,
000603-00-0672, C05,C07,C02,C09,C06,,,,
000603-00-0683, C05,C01,,,,,,,
000603-00-0696, C05,C08,C01,C02,C04,,,,
000603-00-0710, C05,C04,C08,C09,,,,,
000603-00-0733, C05,C07,C09,C03,,,,,
000603-00-0739, C05,,,,,,,,
000603-00-0759, C05,C09,C08,C03,C07,C06,C04,C02,C01
000603-00-0771, C05,C08,C01,C02,C04,,,,
000603-00-0773, C05,C04,C09,,,,,,
000603-00-0775, C05,,,,,,,,
000603-00-0790, C05,C01,C04,C09,,,,,
000603-00-0801, C05,C01,C06,C07,C04,C03,,,
000603-00-0824, C05,C02,C08,,,,,,
000603-00-0833, C05,C04,C02,C01,C07,,,,
000603-00-0837, C05,C04,C09,,,,,,
000603-00-0844, C05,C03,C04,,,,,,
000603-00-0898, C05,C08,C09,C04,C03,,,,
000603-00-0909, C05,,,,,,,,
000603-00-0920, C05,C08,C01,C04,,,,,
000603-00-0924, C05,C04,C03,C08,,,,,
000603-00-0927, C05,C04,C03,C08,,,,,
000603-00-0930, C05,C02,C09,C08,,,,,
000803-00-0003, C05,,,,,,,,
000803-00-0016, C05,C03,C08,,,,,,
000803-00-0021, C05,C08,C01,C02,C06,,,,
000803-00-0035, C05,C08,C09,,,,,,
000803-00-0078, C05,C09,C08,C04,C07,C06,C03,C02,
000803-00-0084, C05,C04,C06,C07,C01,C09,C02,C03,C08
000803-00-0089, C05,C08,C04,,,,,,
000803-00-0096, C05,C03,C08,,,,,,
000803-00-0108, C05,C07,C04,C06,C02,C01,C08,C09,
001002-00-0017, C05,C07,C01,,,,,,
001002-00-0022, C05,C09,C04,,,,,,
001002-00-0038, C05,C02,C04,C08,C01,C09,,,
001002-00-0050, C05,C08,C04,,,,,,
001002-00-0056, C05,C04,C03,C08,C09,,,,
001002-00-0093, C05,C04,C03,C08,C09,,,,
001002-00-0103, C05,C03,C04,C01,C02,C08,,,
001002-00-0107, C05,C03,C04,,,,,,
001002-00-0111, C05,C08,C09,C07,C02,C04,C03,,
001002-00-0118, C05,C08,C06,C07,C09,C03,C04,C01,C02
001002-00-0131, C05,C03,C09,C08,,,,,
001002-00-0138, C05,C09,C08,C04,C02,C03,,,
001002-00-0157, C05,C03,C04,C01,C02,C08,,,
001002-00-0166, C05,C04,C03,C02,C08,,,,
001002-00-0226, C05,,,,,,,,
001002-00-0234, C05,C04,C03,C02,,,,,
001002-00-0246, C05,C08,C04,,,,,,
001002-00-0266, C05,C08,,,,,,,
001002-00-0283, C05,C09,C03,C04,C08,,,,
001002-00-0299, C05,C04,C08,C09,,,,,
001002-00-0311, C05,C04,C08,,,,,,
001002-00-0327, C05,C01,C09,C07,C08,,,,
001002-00-0328, C05,C08,C07,C04,C02,,,,
001002-00-0330, C05,C04,C02,C08,,,,,
001002-00-0338, C05,C04,C02,C08,C03,,,,
001002-00-0343, C05,C08,C04,,,,,,
001002-00-0365, C05,C08,C09,,,,,,
001002-00-0367, C05,C04,C08,C09,C07,,,,
001002-00-0393, C05,C04,C03,,,,,,
001002-00-0411, C05,C04,C09,C01,C08,C03,,,
001002-00-0416, C05,,,,,,,,
001002-00-0446, C05,C07,C08,,,,,,
001002-00-0449, C05,C04,C08,,,,,,
001002-00-0466, C05,C04,C02,C09,,,,,
001002-00-0473, C05,C04,C01,C08,C06,,,,
001002-00-0481, C05,C09,,,,,,,
001002-00-0486, C05,C04,C07,,,,,,
001002-00-0515, C05,C08,C09,C04,,,,,
001002-00-0548, C05,C06,C01,C04,C02,,,,
001002-00-0551, C05,C04,C08,C06,,,,,
001002-00-0563, C05,C09,C08,C04,,,,,
001002-00-0568, C05,C08,C07,C04,C02,C01,,,
001002-00-0588, C05,C09,C08,C04,C03,C07,,,
001002-00-0608, C05,C08,,,,,,,
001002-00-0615, C05,C09,C08,C07,C01,C02,C04,C06,
001002-00-0616, C05,C04,C08,C09,C01,C02,C07,,
001002-00-0624, C05,,,,,,,,
001002-00-0630, C05,C04,C08,C09,C07,,,,
001002-00-0639, C05,C08,C09,C06,,,,,
001002-00-0648, C05,C02,C09,C03,C07,C08,C04,C01,C06
001002-00-0652, C05,,,,,,,,
001002-00-0671, C05,C03,C04,,,,,,
001002-00-0673, C05,,,,,,,,
001002-00-0674, C05,C08,C07,C03,C06,,,,
001002-00-0690, C05,C02,C04,C07,C08,C09,,,
001002-00-0695, C05,C08,C01,C02,C03,C04,,,
001002-00-0702, C05,C04,C08,C09,C03,,,,
001002-00-0708, C05,C07,,,,,,,
001002-00-0710, C05,C08,,,,,,,
001002-00-0721, C05,C04,C03,C02,C01,C09,C08,C07,
001002-00-0741, C05,,,,,,,,
001002-00-0762, C05,,,,,,,,
001002-00-0784, C05,C01,,,,,,,
001002-00-0789, C05,C04,C03,C02,C08,,,,
001002-00-0790, C05,C04,C09,C02,C03,C06,C07,C08,
001002-00-0818, C05,C08,C07,C01,,,,,
001002-00-0819, C05,C09,C04,,,,,,
001002-00-0844, C05,C08,C09,,,,,,
001002-00-0864, C05,C08,C09,C01,C02,C03,C04,C07,C06
001002-00-0866, C05,C09,C07,C08,,,,,
001002-00-0874, C05,C08,,,,,,,
001002-00-0876, C05,C02,C03,C08,C09,,,,
001002-00-0882, C05,C08,C07,C09,C01,,,,
001002-00-0914, C05,C08,C04,,,,,,
001002-00-0919, C05,C04,,,,,,,
001002-00-0928, C05,C04,C03,C02,C07,,,,
001002-00-0932, C05,C09,C04,C02,,,,,
001002-00-0942, C05,C01,C04,,,,,,
001002-00-0954, C05,C08,C09,C04,,,,,
001002-00-0961, C05,C01,C04,C02,C08,C09,C03,C07,C06
001002-00-0976, C05,C08,C03,C09,,,,,
001002-00-0981, C05,C04,C08,,,,,,
001002-00-0991, C05,C04,,,,,,,
001002-00-1006, C05,C01,C04,,,,,,
001002-00-1011, C05,C04,C08,C03,C09,C02,,,
001002-00-1027, C05,C07,C08,,,,,,
001002-00-1028, C05,C04,C03,C08,C09,C07,,,
001002-00-1029, C05,C04,C03,C08,C09,C07,,,
001002-00-1034, C05,C08,C04,C01,C02,C03,C09,,
001002-00-1045, C05,C08,C09,,,,,,
001002-00-1054, C05,C04,C09,C08,,,,,
001002-00-1060, C05,C04,,,,,,,
001002-00-1073, C05,C09,C04,,,,,,
001002-00-1084, C05,C09,C04,,,,,,
001002-00-1099, C05,C09,C08,C04,C01,,,,
001002-00-1128, C05,,,,,,,,
001002-00-1140, C05,C01,C08,C09,C07,,,,
001002-00-1143, C05,C04,,,,,,,
001002-00-1166, C05,C03,C09,,,,,,
001002-00-0267, C05,C09,C08,,,,,,
000301-00-0037, C05,C08,C09,,,,,,
000301-00-0064, C05,C02,C08,,,,,,
000301-00-0150, C05,C03,,,,,,,
000301-00-0175, C05,C04,C03,,,,,,
000301-00-0185, C05,C04,C09,C03,C08,C02,,,
000301-00-0304, C05,C08,C02,,,,,,
000301-00-0462, C05,C08,C09,C01,C03,C02,,,
000301-00-0507, C05,C01,C04,,,,,,
000301-00-0591, C05,C09,C04,,,,,,
000301-00-0643, C05,C06,C07,C08,C09,C01,C02,C03,C04
000301-00-0746, C05,C08,C03,C01,,,,,
000301-00-0770, C05,C09,C08,C03,C04,C07,,,
000301-00-0832, C05,C09,C03,C08,C02,C07,,,
000701-00-0002, C05,C03,C04,C07,,,,,
000701-00-0004, C05,C09,C08,,,,,,
000701-00-0007, C05,C03,C04,C09,,,,,
000701-00-0009, C05,C08,C02,,,,,,
000701-00-0026, C05,C08,C09,,,,,,
000701-00-0033, C05,C07,,,,,,,
000701-00-0036, C05,C04,C09,,,,,,
000701-00-0038, C05,C04,C03,,,,,,
000701-00-0055, C05,C08,C04,,,,,,
000701-00-0059, C05,C09,C08,C04,,,,,
000701-00-0065, C05,C04,C09,C07,C06,,,,
000701-00-0072, C05,C09,C08,C04,C02,C01,C03,C07,C06
000701-00-0079, C05,C03,C04,,,,,,
000701-00-0090, C05,C01,C08,C09,,,,,
000701-00-0111, C05,C09,,,,,,,
000701-00-0113, C05,C04,C09,C08,,,,,
000701-00-0117, C05,,,,,,,,
000701-00-0122, C05,C04,C09,,,,,,
000701-00-0134, C05,C09,C07,C03,C01,C06,C02,C08,C04
000701-00-0146, C05,C04,C08,C09,C03,C02,C01,,
000701-00-0151, C05,C04,,,,,,,
000701-00-0153, C05,C04,,,,,,,
000701-00-0166, C05,C07,,,,,,,
000701-00-0176, C05,C04,C08,,,,,,
000701-00-0214, C05,C04,C03,C02,,,,,
000701-00-0221, C05,C06,,,,,,,
000701-00-0228, C05,C09,C08,C04,,,,,
000701-00-0234, C05,C07,C08,C09,,,,,
000701-00-0250, C05,C08,C07,C03,C02,C04,,,
000701-00-0252, C05,C04,C08,C03,,,,,
000701-00-0253, C05,C07,C01,,,,,,
000701-00-0271, C05,C09,C04,,,,,,
000701-00-0286, C05,C09,C04,,,,,,
000701-00-0299, C05,C04,C07,C03,C09,C08,C01,,
000701-00-0306, C05,,,,,,,,
000701-00-0318, C05,C08,,,,,,,
000701-00-0321, C05,C04,C08,C09,C03,C01,C02,,
000701-00-0325, C05,C08,C04,C09,C03,C02,,,
000701-00-0333, C05,,,,,,,,
000701-00-0345, C05,C08,C04,C09,C02,C03,,,
000701-00-0365, C05,C04,C08,,,,,,
000701-00-0367, C05,C08,C07,,,,,,
000701-00-0368, C05,C04,C03,C08,,,,,
000701-00-0374, C05,C08,C09,,,,,,
000701-00-0382, C05,C07,C04,C09,C02,,,,
000701-00-0399, C05,C08,C04,,,,,,
000701-00-0407, C05,C04,C01,C02,C03,C08,,,
000701-00-0408, C05,C09,C04,C07,C03,C02,C06,,
000701-00-0412, C05,C04,C08,C03,C01,C02,,,
000701-00-0419, C05,C09,,,,,,,
000701-00-0444, C05,C07,C04,,,,,,
000701-00-0449, C05,C09,C08,C04,,,,,
000701-00-0466, C05,C04,C09,C07,C06,C03,,,
000701-00-0478, C05,C03,,,,,,,
000701-00-0494, C05,C04,C01,C02,C08,C07,C06,,
000701-00-0502, C05,,,,,,,,
000701-00-0540, C05,C09,C04,C08,C07,,,,
000701-00-0541, C05,C08,,,,,,,
000701-00-0587, C05,C08,C09,,,,,,
000701-00-0596, C05,C01,,,,,,,
000701-00-0597, C05,,,,,,,,
000701-00-0607, C05,C04,C08,,,,,,
000701-00-0609, C05,C07,C01,C04,,,,,
000701-00-0620, C05,C04,C08,,,,,,
000701-00-0626, C05,C08,C09,C04,C07,C03,C02,,
000701-00-0654, C05,C02,C01,C07,C04,C06,C08,C09,C03
000701-00-0660, C05,C07,C08,,,,,,
000701-00-0664, C05,C07,C04,,,,,,
000701-00-0667, C05,C07,C08,C02,C04,C09,,,
000701-00-0668, C05,C04,C07,,,,,,
000701-00-0671, C05,C07,C08,C04,C02,C03,C01,C09,C06
000701-00-0679, C05,C04,C08,,,,,,
000701-00-0680, C05,C07,C01,C04,,,,,
000701-00-0685, C05,,,,,,,,
000701-00-0700, C05,C08,C09,C07,C04,,,,
000701-00-0718, C05,C09,C07,C03,C06,C02,C01,C08,C04
000701-00-0720, C05,C04,C03,C07,C09,C08,,,
000701-00-0769, C05,C09,C04,C03,,,,,
000701-00-0779, C05,C08,C04,C09,C07,C03,C01,,
000701-00-0793, C05,C07,,,,,,,
000701-00-0803, C05,,,,,,,,
000701-00-0810, C05,C08,C04,C02,C01,C03,,,
000701-00-0814, C05,C04,C02,C01,C09,,,,
000701-00-0818, C05,,,,,,,,
000701-00-0175, C05,C09,,,,,,,
000102-00-0004, C05,C09,,,,,,,
000102-00-0047, C05,C08,C02,,,,,,
000102-00-0072, C05,C09,C08,,,,,,
000102-00-0083, C05,C09,,,,,,,
000102-00-0118, C05,C08,C04,,,,,,
000102-00-0137, C05,C09,C01,C02,C08,C04,C03,,
000102-00-0224, C05,C08,C02,C01,C04,C03,C06,C09,C07
000102-00-0277, C05,C07,C02,C08,C04,C03,C01,C06,C09
000102-00-0393, C05,C03,C08,C02,,,,,
000102-00-0429, C05,C06,C07,C08,C09,C01,C02,C03,C04
000102-00-0433, C05,C02,C01,C07,C04,C08,,,
000102-00-0573, C05,C08,C04,C09,,,,,
000102-00-0640, C05,C09,C02,,,,,,
000102-00-0732, C05,C08,C09,C02,C04,C07,,,
000102-00-0777, C05,C08,C09,,,,,,
000102-00-0891, C05,,,,,,,,
000102-00-0893, C05,,,,,,,,
000102-00-0952, C05,,,,,,,,
000102-00-1016, C05,C07,C08,C09,,,,,
000102-00-1041, C05,,,,,,,,
000102-00-1095, C05,C04,C01,C02,C08,C09,,,
000102-00-1096, C05,C02,C01,C08,C04,C09,,,
000102-00-1105, C05,C08,C09,C02,C04,C03,C06,C07,C01
000802-00-0043, C05,C09,C07,,,,,,
000802-00-0051, C05,,,,,,,,
000802-00-0053, C05,,,,,,,,
000802-00-0078, C05,C09,C08,C04,C03,C07,C06,C01,C02
000802-00-0082, C05,,,,,,,,
000802-00-0084, C05,C04,C08,C09,C01,C06,C03,C02,
000802-00-0090, C05,C09,,,,,,,
000802-00-0092, C05,C09,C08,,,,,,
000802-00-0099, C05,C02,C07,C03,C08,,,,
000802-00-0105, C05,C07,,,,,,,
000802-00-0111, C05,C07,C09,C04,C01,C02,C08,,
000802-00-0128, C05,C09,C08,,,,,,
000802-00-0152, C05,C08,C02,C01,C03,C04,,,
000802-00-0176, C05,,,,,,,,
000802-00-0206, C05,C07,C08,,,,,,
000802-00-0209, C05,C04,C08,,,,,,
000802-00-0231, C05,C08,,,,,,,
000802-00-0240, C05,C09,,,,,,,
000802-00-0255, C05,C09,,,,,,,
000802-00-0263, C05,C08,C04,C02,,,,,
000802-00-0265, C05,C01,C02,,,,,,
000802-00-0271, C05,C04,C08,,,,,,
000802-00-0291, C05,C07,C08,C09,C04,C03,C06,C02,C01
000802-00-0304, C05,C04,C09,C08,C07,,,,
000802-00-0317, C05,,,,,,,,
000802-00-0359, C05,C04,C09,,,,,,
000802-00-0373, C05,C03,C04,,,,,,
000802-00-0378, C05,C07,C03,C09,C08,C04,C06,C02,C01
000802-00-0379, C05,C08,C04,C03,,,,,
000802-00-0381, C05,C04,C08,C07,,,,,
000802-00-0385, C05,,,,,,,,
000802-00-0387, C05,C04,C08,C03,C07,,,,
000802-00-0417, C05,C07,,,,,,,
000802-00-0427, C05,C08,C04,C03,C02,C01,,,
000802-00-0446, C05,C04,C02,,,,,,
000802-00-0462, C05,C08,C04,C01,C09,C02,C06,C07,C03
000802-00-0463, C05,C07,C08,,,,,,
000802-00-0466, C05,C04,C07,,,,,,
000802-00-0469, C05,C09,C08,,,,,,
000802-00-0476, C05,C07,C09,,,,,,
000802-00-0484, C05,C08,C04,,,,,,
000802-00-0506, C05,C04,C07,,,,,,
000802-00-0517, C05,C09,C07,C03,,,,,
000802-00-0527, C05,C07,C08,,,,,,
000802-00-0569, C05,C04,C08,C07,,,,,
000802-00-0575, C05,C07,C08,C09,C02,C03,C04,,
000802-00-0576, C05,,,,,,,,
000802-00-0577, C05,C08,C04,C09,C03,C07,,,
000802-00-0591, C05,,,,,,,,
000802-00-0637, C05,C08,,,,,,,
000802-00-0651, C05,C07,C08,C09,,,,,
000802-00-0661, C05,C08,C04,,,,,,
000802-00-0666, C05,C07,C04,,,,,,
000802-00-0680, C05,C03,C06,,,,,,
000802-00-0711, C05,C09,C01,C08,C04,C02,,,
000802-00-0716, C05,C08,C09,C04,C02,C01,,,
000802-00-0720, C05,,,,,,,,
000802-00-0744, C05,C01,C08,,,,,,
000802-00-0747, C05,C02,C01,C03,C04,,,,
000802-00-0758, C05,C09,C08,,,,,,
000802-00-0765, C05,C04,,,,,,,
000802-00-0766, C05,C04,C08,,,,,,
000802-00-0798, C05,,,,,,,,
000802-00-0799, C05,C04,,,,,,,
000802-00-0814, C05,C01,C08,C04,C02,C03,C06,C07,C09
000802-00-0826, C05,C08,C09,C01,C02,C03,C04,C06,C07
000802-00-0850, C05,C01,C07,,,,,,
000802-00-0859, C05,,,,,,,,
000802-00-0861, C05,C04,C02,C09,C01,,,,
000802-00-0878, C05,C08,C04,C09,C07,C02,,,
000802-00-0883, C05,C01,C06,C02,,,,,
000802-00-0885, C05,C08,C04,C09,C07,C03,C01,C06,C02
000802-00-0887, C05,C02,C08,C04,C03,C09,C01,C06,C07
000802-00-0889, C05,C09,C08,C06,,,,,
000802-00-0912, C05,C09,,,,,,,
000802-00-0913, C05,C08,C02,C01,C07,C04,C03,C09,C06
000802-00-0949, C05,C08,,,,,,,
000802-00-0954, C05,C07,,,,,,,
000802-00-0956, C05,C07,C04,C08,C09,,,,
000702-00-0003, C05,C08,,,,,,,
000702-00-0015, C05,C04,C08,,,,,,
000702-00-0031, C05,C07,C08,,,,,,
000702-00-0050, C05,C08,,,,,,,
000702-00-0054, C05,,,,,,,,
000702-00-0071, C05,C09,C04,C03,C08,,,,
000702-00-0083, C05,C08,C04,,,,,,
000702-00-0088, C05,C07,C01,C08,C09,C06,,,
000702-00-0097, C05,C08,C01,C02,C03,C04,,,
000702-00-0098, C05,C08,C01,C02,C03,C04,,,
000702-00-0100, C05,C07,C09,C03,,,,,
000702-00-0104, C05,,,,,,,,
000702-00-0109, C05,C09,C04,C02,,,,,
000702-00-0116, C05,C07,C09,C03,C08,C04,C02,C01,
000702-00-0118, C05,C08,C07,C03,C04,C09,,,
000702-00-0131, C05,C08,C09,C07,,,,,
000702-00-0139, C05,C08,C02,C04,C01,,,,
000702-00-0149, C05,C09,C03,C02,C07,C04,,,
000702-00-0150, C05,C04,C08,C09,C06,C07,C01,C02,
000702-00-0163, C05,,,,,,,,
000702-00-0165, C05,C08,,,,,,,
000702-00-0166, C05,C08,,,,,,,
000702-00-0185, C05,C08,C01,C02,C04,C07,C06,C09,C03
000702-00-0190, C05,C09,C08,C04,,,,,
000702-00-0195, C05,C09,C08,C07,C04,C01,,,
